Sequent_N,Ref_N,Date,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
"94",2CT_STRATEGA_20170511_LAI,11-May-2017,8:35 AM,Colecchia S.A. - De Santis A.P.,"41.463258","15.506586",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.829","0.130",,,,,
"95",3NT_STRATEGA_20170511_LAI,11-May-2017,8:42 AM,Colecchia S.A. - De Santis A.P.,"41.462251","15.506075",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.018","0.122",,,,,
"96",4CT_STRATEGA_20170511_LAI,11-May-2017,8:50 AM,Colecchia S.A. - De Santis A.P.,"41.461017","15.505510",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.065","0.175",,,,,
"97",5NT_STRATEGA_20170511_LAI,11-May-2017,8:57 AM,Colecchia S.A. - De Santis A.P.,"41.460122","15.504875",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.947","0.146",,,,,
"98",6CT_STRATEGA_20170511_LAI,11-May-2017,7:47 AM,Colecchia S.A. - De Santis A.P.,"41.459542","15.505743",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.253","0.242",,,,,
"99",7NT_STRATEGA_20170511_LAI,11-May-2017,7:56 AM,Colecchia S.A. - De Santis A.P.,"41.460793","15.506305",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.345","0.190",,,,,
"100",8CT_STRATEGA_20170511_LAI,11-May-2017,8:03 AM,Colecchia S.A. - De Santis A.P.,"41.462031","15.506923",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.021","0.192",,,,,
"101",9NT_STRATEGA_20170511_LAI,11-May-2017,8:11 AM,Colecchia S.A. - De Santis A.P.,"41.463218","15.507459",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.985","0.131",,,,,
"102",10CT_STRATEGA_20170511_LAI,11-May-2017,8:17 AM,Colecchia S.A. - De Santis A.P.,"41.464351","15.508019",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.787","0.141",,,,,
"103",A_Foraggere_20170517_LAI,17-May-2017,8:54 AM,Colecchia S.A. - De Santis A.P.,"41.453736","15.510834",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.162","0.564",,,,,
"104",B_Foraggere_20170517_LAI,17-May-2017,9:34 AM,Colecchia S.A. - De Santis A.P.,"41.453559","15.510150",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.510","0.473",,,,,
"105",C_Foraggere_20170517_LAI,17-May-2017,10:11 AM,Colecchia S.A. - De Santis A.P.,"41.452049","15.511371",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.100","0.297",,,,,
"106",D_Foraggere_20170517_LAI,17-May-2017,10:36 AM,Colecchia S.A. - De Santis A.P.,"41.451568","15.510218",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.096","0.270",,,,,
"107",E_Foraggere_20170517_LAI,17-May-2017,10:55 AM,Colecchia S.A. - De Santis A.P.,"41.453095","15.509176",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"4.606","0.585",,,,,
"108",F_Foraggere_20170517_LAI,17-May-2017,11:49 AM,Colecchia S.A. - De Santis A.P.,"41.450981","15.508549",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.646","0.630",,,,,
"109",G_Foraggere_20170517_LAI,17-May-2017,12:07 PM,Colecchia S.A. - De Santis A.P.,"41.452208","15.508092",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.900","0.414",,,,,
"110",H_Foraggere_20170517_LAI,17-May-2017,12:29 PM,Colecchia S.A. - De Santis A.P.,"41.451856","15.506353",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.604","0.349",,,,,
"111",I_Foraggere_20170517_LAI,17-May-2017,12:58 PM,Colecchia S.A. - De Santis A.P.,"41.451918","15.514651",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.710","0.416",,,,,
"112",J_Foraggere_20170517_LAI,17-May-2017,1:17 PM,Colecchia S.A. - De Santis A.P.,"41.452352","15.516151",>50 cm,"69",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"0.604","0.583",,,,,
"113",Sg01_liv2_20170530_LAI,30-May-2017,11:41 AM,Colecchia S.A. - De Santis A.P.,"41.360597","15.477490",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.186","0.211",,,,,
"114",Sg02_liv2_20170530_LAI,30-May-2017,9:53 AM,Colecchia S.A. - De Santis A.P.,"41.365754","15.478627",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.282","0.342",,,,,
"115",Sg03_liv2_20170530_LAI,30-May-2017,10:21 AM,Colecchia S.A. - De Santis A.P.,"41.370132","15.482916",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.888","0.347",,,,,
"116",Sg04_liv2_20170530_LAI,30-May-2017,10:38 AM,Colecchia S.A. - De Santis A.P.,"41.375459","15.486340",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.500","0.258",,,,,
"117",Sg05_liv2_20170530_LAI,30-May-2017,10:57 AM,Colecchia S.A. - De Santis A.P.,"41.374255","15.487682",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.304","0.124",,,,,
"118",Sg06_liv2_20170530_LAI,30-May-2017,8:10 AM,Colecchia S.A. - De Santis A.P.,"41.379578","15.496237",>50 cm,"83",Olive,,,Olivo,Olea europaea L.,,,,Sunny - no clouds,"1.433","0.436",,,,,Durum Wheat intercropping
"119",Sg07_liv2_20170530_LAI,30-May-2017,8:35 AM,Colecchia S.A. - De Santis A.P.,"41.378372","15.502219",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"3.613","0.662",,,,,
"120",Sg08_liv2_20170530_LAI,30-May-2017,10:05 AM,Colecchia S.A. - De Santis A.P.,"41.364159","15.485311",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.460","0.275",,,,,
"121",Sg10_liv2_20170530_LAI,30-May-2017,9:24 AM,Colecchia S.A. - De Santis A.P.,"41.369087","15.495511",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.382","0.198",,,,,
"122",Sg11_liv2_20170530_LAI,30-May-2017,8:56 AM,Colecchia S.A. - De Santis A.P.,"41.371316","15.500838",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"1.520","0.337",,,,,
"123",SgMS_liv2_20170530_LAI,30-May-2017,8:26 AM,Colecchia S.A. - De Santis A.P.,"41.378103","15.499921",>50 cm,"83",Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,"2.388","1.080",,,,,
"124",A_Pomodoro_20170609_LAI,9-Jun-2017,9:01 AM,Colecchia S.A. - De Santis A.P.,"41.463112","15.497327",10-30 cm,"19",Tomato,,,Pomodoro,Solanum licopersicum L.,,"180","302",Sunny - no clouds,"0.351","0.12",,,,,
"125",B_Pomodoro_20170609_LAI,9-Jun-2017,10:16 AM,Colecchia S.A. - De Santis A.P.,"41.454229","15.511872",10-30 cm,"19",Tomato,,,Pomodoro,Solanum licopersicum L.,,"160","331",Sunny - no clouds,"1.432","0.55",,,,,
"126",C_Pomodoro_20170609_LAI,9-Jun-2017,9:49 AM,Colecchia S.A. - De Santis A.P.,"41.455026","15.515643",10-30 cm,"19",Tomato,,,Pomodoro,Solanum licopersicum L.,,"160","330",Sunny - no clouds,"0.488","0.25",,,,,
"127",A_Pomodoro_20170612_LAI,12-Jun-2017,2:42 PM,Colecchia S.A. - De Santis A.P.,"41.463112","15.497327",10-30 cm,"19",Tomato,,,Pomodoro,Solanum licopersicum L.,,"180","302",Sunny - no clouds,"0.425","0.24",,,,,
"128",B_Pomodoro_20170612_LAI,12-Jun-2017,11:10 AM,Colecchia S.A. - De Santis A.P.,"41.454229","15.511872",10-30 cm,"19",Tomato,,,Pomodoro,Solanum licopersicum L.,,"160","331",Sunny - no clouds,"1.927","0.75",,,,,
"129",C_Pomodoro_20170612_LAI,12-Jun-2017,12:08 PM,Colecchia S.A. - De Santis A.P.,"41.455026","15.515643",10-30 cm,"19",Tomato,,,Pomodoro,Solanum licopersicum L.,,"160","330",Sunny - no clouds,"0.347","0.33",,,,,
"130",A_Pomodoro_20170615_LAI,15-Jun-2017,7:38 AM,Colecchia S.A. - De Santis A.P.,"41.463112","15.497327",10-30 cm,"61",Tomato,,,Pomodoro,Solanum licopersicum L.,,"180","302",Sunny - no clouds,"1.620","0.95",,,,,
"131",B_Pomodoro_20170615_LAI,15-Jun-2017,7:24 AM,Colecchia S.A. - De Santis A.P.,"41.454229","15.511872",10-30 cm,"61",Tomato,,,Pomodoro,Solanum licopersicum L.,,"160","331",Sunny - no clouds,"2.804","1.25",,,,,
"132",C_Pomodoro_20170615_LAI,15-Jun-2017,7:01 AM,Colecchia S.A. - De Santis A.P.,"41.455026","15.515643",10-30 cm,"61",Tomato,,,Pomodoro,Solanum licopersicum L.,,"160","330",Sunny - no clouds,"1.153","0.78",,,,,
"133",A_Pomodoro_20170621_LAI,21-Jun-2017,8:52 AM,Colecchia S.A. - De Santis A.P.,"41.463112","15.497327",30-50 cm,"70",Tomato,,,Pomodoro,Solanum licopersicum L.,,"180","302",Sunny - no clouds,"1.336","0.56",,,,,
"134",B_Pomodoro_20170621_LAI,21-Jun-2017,10:12 AM,Colecchia S.A. - De Santis A.P.,"41.454229","15.511872",30-50 cm,"70",Tomato,,,Pomodoro,Solanum licopersicum L.,,"160","331",Sunny - no clouds,"3.334","0.80",,,,,
"135",C_Pomodoro_20170621_LAI,21-Jun-2017,9:52 AM,Colecchia S.A. - De Santis A.P.,"41.455026","15.515643",30-50 cm,"70",Tomato,,,Pomodoro,Solanum licopersicum L.,,"160","330",Sunny - no clouds,"1.679","0.52",,,,,
