,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1
73,POINT (345471.83686850674 4603233.7701159455),2018-05-11,0.0551,0.0901,0.0945,0.34,0.1448,0.279,0.326,0.367,0.28,0.1698,0,0,0,0,24,146,0,74,2018-05-22,-11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180522-111119-931_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,2102,RAYGRAS,20.0,0.0,N,GU,,PC,-1,R,0,VPG,lo han segado. merece la pena seguir mi siendo el lai aquí?,345471.836867,4603233.77,,,,1.11,1.7818669984,,0.0,0.0,,,,,,,,,
74,POINT (345494.9532219239 4603256.5668337615),2018-06-14,0.086,0.1289,0.1343,0.3783,0.202,0.3103,0.3553,0.4007,0.3563,0.2379,0,0,0,0,22,140,0,67,2018-06-16,-2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,3102,RAYGRAS,95.0,0.0,N,MA,,PC,D,R,0,VPG,está  muy homogeneo,345494.953221,4603256.56672,,,,2.792,0.6310071315,,0.0,0.0,,,,,,,,,
75,POINT (345513.30334445095 4603281.391645707),2018-06-28,0.0579,0.0954,0.0984,0.3541,0.1548,0.293,0.3407,0.3751,0.3166,0.1923,0,0,0,0,22,139,0,72,2018-07-01,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180701-111103-470_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,4102,RAYGRAS,20.0,0.0,-1,GU,,PC,D,R,0,VPG,segado no hace mucho. Se ha empacado toda la siega. amontonadas en 2 torres. es como medir sobre un césped,345513.303343,4603281.39153,,,,0.73,0.20615528128,,0.0,0.0,,,,,,,,,
76,POINT (346205.799132853 4604256.862271804),2018-06-14,0.0961,0.1488,0.1568,0.3851,0.1958,0.3365,0.3811,0.3975,0.3282,0.2227,0,0,0,0,22,140,0,65,2018-06-16,-2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,2121,MAIZ,70.0,70.0,B,GU,,PC,D,I,0,VPG,regadio de cobertura,346205.799132,4604256.86216,,,,1.054,0.3762047315,,0.0,0.0,,,,,,,,,
77,POINT (346228.86868702184 4604258.068107266),2018-06-28,0.0251,0.048,0.0284,0.4426,0.0701,0.3159,0.45,0.4725,0.1796,0.0793,0,0,0,0,23,139,0,62,2018-07-06,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180706-110918-241_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,3121,MAIZ,110.0,0.0,-1,-1,,OV,D,I,0,-1,,346228.868686,4604258.06799,,,,2.112,0.59604530029,,0.0,0.0,,,,,,,,,
78,POINT (346214.42650959815 4604261.329642497),2018-05-11,0.0657,0.0951,0.1172,0.182,0.1339,0.1652,0.1789,0.1926,0.2241,0.1397,0,0,0,0,24,146,0,73,2018-05-22,-11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2B_20180522-111119-931_L2A_T30TUM_C_V2-2_roi_0.tif,Greg,121,MAIZ,6.0,70.0,B,EM,perpendicular to the path,PC,S,I,1,VPG,"asegurarse que es maiz. esta muy húmedo,  regado. solo hago 3 medidas xq es casi 0",346214.426508,4604261.32953,,,,0.0125,0.01892969449,,0.0,0.0,,,,,,,,,
79,POINT (345360.7838588333 4626318.568797745),2018-07-11,0.0543,0.0925,0.1067,0.3397,0.1565,0.2739,0.3227,0.3568,0.2977,0.1976,0,0,0,0,26,142,1,81,2018-07-26,-15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,MR,5117,GARBANZOS,40.0,0.0,B,MA,,OV,D,R,0,VPG,Garbanzo con cercos secos,345360.783858,4626318.56868,,,,1.786,0.88505932005,,0.0,0.0,,,,,,,,,
80,POINT (345344.51574012486 4626352.6121998625),2018-06-15,0.0694,0.1192,0.1355,0.3707,0.1995,0.3313,0.3603,0.3866,0.3589,0.2626,0,0,0,0,22,140,1,82,2018-06-16,-1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,MR,3117,GARBANZOS,30.0,0.0,B,FL,,CL,D,R,0,VPG,parcela afectada por la rabia del garbanzo. Por eso hay muchos cercos secos,345344.515739,4626352.61208,,,,1.68,0.438178046,,0.0,0.0,,,,,,,,,
81,POINT (345352.41871949425 4626384.106187406),2018-05-17,0.0837,0.1316,0.188,0.2956,0.2217,0.2662,0.2872,0.3126,0.4571,0.3835,0,0,0,0,25,147,1,81,2018-05-17,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180517-111020-570_L2A_T30TUM_C_V2-2_roi_0.tif,MR,2117,GARBANZOS,15.0,15.0,B,GU,paralel to the path,PC,D,R,0,VPG,,345352.418718,4626384.10607,,,,0.144,0.09555103348,,0.0,0.0,,,,,,,,,
82,POINT (356885.35629684 4618545.506922261),2018-07-10,0.0903,0.1403,0.1842,0.3234,0.2085,0.2838,0.3125,0.3477,0.3312,0.2388,0,0,0,0,26,143,0,209,2018-07-26,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180726-111615-739_L2A_T30TUM_C_V2-2_roi_0.tif,ITA,133,CENTENO,100.0,20.0,N,SE,Paralel to the way,CL,D,R,0,NP,"Está en mal estado, muchos claros",356885.356296,4618545.50681,,,,0.852,0.60396191933,,0.0,0.0,,,,,,,,,
