,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
20,POINT (356669.99044031696 4814911.41052826),2018-05-29,0.0512,0.0767,0.0989,0.22,0.1343,0.1799,0.2068,0.2411,0.2147,0.1328,0,0,0,0,23,144,1,296,2018-06-20,-22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter barley,PAV-1,1.22788,43.47339,2.55,2.44,2.54,2.46,2.11,2.25,2.04,3.52,3.22,3.52,2.53
21,POINT (356669.99044031696 4814911.41052826),2018-06-20,0.0512,0.0767,0.0989,0.22,0.1343,0.1799,0.2068,0.2411,0.2147,0.1328,0,0,0,0,23,144,1,296,2018-06-20,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.22788,43.47339,0.23,0.24,0.23,0.23,0.37,0.29,0.25,0.25,0.25,0.25,0.27
22,POINT (356615.5403563947 4814949.79193479),2018-04-05,0.0562,0.0946,0.0818,0.289,0.1288,0.249,0.2835,0.2961,0.1707,0.1008,0,0,0,0,33,155,1,296,2018-04-21,-16 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.227197,43.473725,1.46,1.28,1.46,1.36,1.22,1.3,1.18,1.93,1.62,1.93,1.4
23,POINT (356583.6979309677 4815001.02553004),2018-02-27,0.0459,0.0836,0.0592,0.3427,0.1389,0.3092,0.3418,0.354,0.1858,0.0968,0,0,0,0,52,158,1,296,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter barley,PAV-1,1.22679,43.47418,1.39,1.34,1.39,1.36,1.2,1.31,1.14,1.75,1.62,1.75,1.44
24,POINT (356905.39369078237 4815403.0682251705),2017-11-28,0.0368,0.0586,0.0483,0.3622,0.1083,0.3065,0.35,0.3561,0.1412,0.0692,0,0,0,0,59,160,1,296,2018-02-10,-74 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180210-105158-460_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23066,43.47786,0.34,0.34,0.33,0.35,0.39,0.35,0.3,0.62,0.45,0.62,0.36
25,POINT (356686.0020944063 4815435.512701485),2017-11-28,0.0325,0.0475,0.0497,0.3766,0.114,0.3123,0.3507,0.3709,0.11,0.0518,0,0,0,0,59,160,1,296,2018-02-10,-74 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180210-105158-460_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13-B,1.22794,43.47811,0.84,0.86,0.84,0.85,0.81,0.83,0.71,1.57,1.44,1.57,0.96
26,POINT (356891.32573221275 4815464.478141185),2018-05-28,0.0411,0.0744,0.0877,0.2369,0.1368,0.1865,0.2121,0.2616,0.1722,0.0977,0,0,0,0,23,144,1,296,2018-06-20,-23 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180620-105211-086_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23047,43.47841,1.98,1.96,1.98,1.98,2.22,2.1,1.81,2.53,2.27,2.53,2.07
27,POINT (356891.32573221275 4815464.478141185),2018-05-04,0.0347,0.0633,0.0327,0.504,0.0934,0.3877,0.4826,0.4999,0.087,0.0371,0,0,0,0,27,152,1,296,2018-05-11,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23047,43.47841,3.7,3.6,3.71,3.74,3.41,3.5,3.06,4.95,5.25,4.95,4.16
28,POINT (356891.32573221275 4815464.478141185),2018-04-05,0.0347,0.0633,0.0327,0.504,0.0934,0.3877,0.4826,0.4999,0.087,0.0371,0,0,0,0,27,152,1,296,2018-05-11,-36 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23047,43.47841,1.57,1.75,1.57,1.75,2.76,2.16,1.79,2.12,2.15,2.12,2.14
29,POINT (356867.32290124556 4815477.210606028),2018-02-27,0.0453,0.0686,0.0714,0.3405,0.1302,0.2983,0.3351,0.3518,0.1542,0.0843,0,0,0,0,52,158,1,296,2018-03-02,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180302-105023-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-5-13,1.23017,43.47852,0.74,0.7,0.74,0.75,0.93,0.8,0.71,1.13,1.03,1.13,0.85
