,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
30,POINT (353927.8194270128 4814833.227965947),2018-03-01,0.0348,0.0634,0.0532,0.3283,0.0982,0.282,0.3224,0.3397,0.1276,0.0684,0,0,0,0,54,158,1,260,2018-02-25,4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-70,1.1940134,43.472156,1.06,1.01,1.06,1.04,1.2,1.11,0.99,2.12,1.53,2.13,1.06
31,POINT (353931.07851369353 4814846.93525284),2017-11-28,0.0471,0.0733,0.0578,0.3628,0.128,0.3382,0.3703,0.3789,0.1335,0.0609,0,0,0,0,65,168,1,260,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-70,1.19405,43.47228,0.92,0.93,0.92,0.92,0.99,0.97,0.84,1.86,1.28,1.86,0.9
32,POINT (353934.6029555879 4814860.192333617),2018-05-04,0.0512,0.1475,0.1313,0.5438,0.1895,0.4484,0.5446,0.5649,0.157,0.0843,0,0,0,0,33,155,1,263,2018-04-21,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-70,1.19409,43.4724,3.12,3.08,3.12,3.09,2.83,2.93,2.55,4.13,4.31,4.12,3.54
33,POINT (353934.6029555879 4814860.192333617),2018-04-06,0.0185,0.035,0.0156,0.3937,0.0594,0.3146,0.3963,0.4091,0.0924,0.0444,0,0,0,0,45,157,1,263,2018-03-22,15 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-70,1.19409,43.4724,1.36,1.53,1.36,1.57,2.39,1.86,1.54,2.01,2.09,2.01,1.75
34,POINT (353934.6029555879 4814860.192333617),2018-05-28,0.0371,0.0718,0.0374,0.4612,0.1055,0.3751,0.4592,0.4664,0.0889,0.0423,0,0,0,0,27,152,1,263,2018-05-11,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BRA-70,1.19409,43.4724,2.02,2.01,2.02,2.01,2.08,2.03,1.77,2.54,2.33,2.54,2.07
35,POINT (350772.4017245655 4816514.369943631),2017-11-28,0.0454,0.0685,0.068,0.3533,0.1493,0.3186,0.3437,0.3598,0.136,0.0631,0,0,0,0,65,168,1,255,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-23,1.15456,43.486663,0.64,0.66,0.64,0.66,0.84,0.72,0.63,1.11,0.88,1.12,0.74
36,POINT (350838.6390189711 4816703.131275658),2018-03-01,0.0344,0.0517,0.0597,0.2841,0.1056,0.2665,0.3062,0.3255,0.1174,0.0562,0,0,0,0,54,158,1,255,2018-02-25,4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-26,1.155327,43.4883749999999,0.56,0.56,0.57,0.55,0.64,0.59,0.52,0.9,0.67,0.9,0.54
37,POINT (350838.6390189715 4816703.131275669),2017-11-28,0.0361,0.0595,0.0423,0.4274,0.1124,0.3903,0.446,0.4546,0.1321,0.0496,0,0,0,0,65,168,1,255,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-26,1.155327,43.488375,2.69,2.59,2.69,2.66,3.28,2.94,2.57,5.39,5.13,5.39,3.03
38,POINT (350907.8331654242 4817076.612725374),2017-11-29,0.0747,0.1127,0.1272,0.2103,0.1659,0.2048,0.2152,0.2273,0.2208,0.1641,0,0,0,0,65,168,1,255,2017-11-27,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.15608,43.49175,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.16,0.15,0.16,0.15
39,POINT (350874.97691022436 4817090.674677436),2018-03-01,0.0307,0.0612,0.0553,0.2598,0.1167,0.225,0.2524,0.2742,0.1609,0.0883,0,0,0,0,54,158,1,255,2018-02-25,4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20180225-105018-458_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.492,winter wheat,ANJ-28,1.15567,43.49187,0.82,0.71,0.82,0.76,0.58,0.68,0.63,1.01,0.88,1.01,0.81
40,POINT (350890.3057286424 4817092.446168891),2018-05-29,0.0247,0.0415,0.0262,0.3391,0.0615,0.2336,0.3383,0.3533,0.1027,0.0479,0,0,0,0,27,152,1,260,2018-05-11,18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter wheat,ANJ-28,1.155859,43.491889,2.59,2.47,2.59,2.57,2.13,2.3,2.06,3.66,3.26,3.66,2.69
41,POINT (350890.3057286424 4817092.446168891),2018-06-20,0.0247,0.0415,0.0262,0.3391,0.0615,0.2336,0.3383,0.3533,0.1027,0.0479,0,0,0,0,27,152,1,260,2018-05-11,40 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.155859,43.491889,0.19,0.19,0.19,0.2,0.22,0.21,0.17,0.21,0.22,0.21,0.21
42,POINT (350890.3057286424 4817092.446168891),2018-05-02,0.0187,0.0372,0.0262,0.2951,0.062,0.2163,0.2942,0.3118,0.1011,0.0483,0,0,0,0,33,155,1,260,2018-04-21,11 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180421-105629-233_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.155859,43.491889,,,,,,,,,,,
43,POINT (350863.23947100085 4817130.491957843),2018-04-05,0.0303,0.0461,0.0419,0.246,0.0848,0.2023,0.2402,0.2608,0.1301,0.0789,0,0,0,0,45,157,1,259,2018-03-22,14 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.155514,43.492226,2.18,2.21,2.18,2.21,1.85,1.96,1.74,2.99,2.82,2.99,2.4
44,POINT (350880.00130164577 4817467.022935166),2018-05-28,0.0368,0.0726,0.0365,0.4561,0.1171,0.3657,0.4347,0.4519,0.0919,0.0434,0,0,0,0,27,152,1,260,2018-05-11,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180511-105804-037_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-29,1.155629,43.495258,1.93,1.99,1.93,1.94,2.06,1.97,1.72,2.37,2.26,2.37,2.04
