,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
26,POINT (542377.9594574135 4590304.992224817),2017-03-29,0.0482,0.0743,0.0775,0.2497,0.1218,0.2119,0.2423,0.2697,0.2613,0.1763,0,0,0,0,40,155,0,0,2017-03-29,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,71,9NT_STRATEGA_20170329_LAI,10:26 AM,Colecchia S.A. - De Santis A.P.,41.463218,15.507459,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.783,0.106,,,,,
27,POINT (542423.9867758902 4590431.05117124),2017-05-11,0.0478,0.0661,0.0859,0.187,0.1015,0.1476,0.1682,0.1992,0.2105,0.1503,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170518-095716-529_L2A_T33TWG_D_V1-4_roi_0.tif,102,10CT_STRATEGA_20170511_LAI,8:17 AM,Colecchia S.A. - De Santis A.P.,41.464351,15.508019,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.787,0.141,,,,,
28,POINT (542423.9867758902 4590431.05117124),2017-03-29,0.0406,0.069,0.0596,0.2422,0.1042,0.2162,0.2448,0.2632,0.1904,0.123,0,0,0,0,40,155,0,0,2017-03-29,0 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,72,10CT_STRATEGA_20170329_LAI,10:33 AM,Colecchia S.A. - De Santis A.P.,41.464351,15.508019,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.700,1.067,,,,,
29,POINT (542761.5633632331 4590554.38909525),2017-04-05,0.0184,0.0417,0.0197,0.3638,0.0645,0.2809,0.3638,0.3871,0.1396,0.0658,0,0,0,0,36,154,0,0,2017-04-08,-3 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,79,G_CREA-CI_20170405_LAI,11:41 AM,Colecchia S.A. - De Santis A.P.,41.465444,15.512070,30-50 cm,34,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.280,0.516,,,,,
30,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0528,0.0815,0.073,0.2529,0.1251,0.2286,0.2531,0.2725,0.2046,0.14,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,13,AA.S_Capitanata.01_2017_LAI,11:32 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.113,,,,,
31,POINT (542643.065641156 4596107.745216719),2017-03-21,0.0528,0.0815,0.073,0.2529,0.1251,0.2286,0.2531,0.2725,0.2046,0.14,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,14,AA.S_Capitanata.02_2017_LAI,11:35 AM,Riefolo C. - Ruggieri S.,41.515470,15.511044,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.675,0.280,,,,,
32,POINT (542729.0692336403 4597126.677271284),2017-03-21,0.0142,0.0383,0.01,0.4264,0.0665,0.3268,0.4336,0.4559,0.1306,0.0566,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,15,AA.S_Capitanata.03_2017_LAI,11:55 AM,Riefolo C. - Ruggieri S.,41.524643,15.512147,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.175,0.233,,,,,
33,POINT (542690.3698116635 4597222.92797065),2017-03-21,0.0086,0.0205,0.0,0.4501,0.0405,0.2937,0.44,0.4643,0.1081,0.0423,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,16,AA.S_Capitanata.04_2017_LAI,12:00 PM,Riefolo C. - Ruggieri S.,41.525512,15.511690,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.560,0.566,,,,,
34,POINT (542690.3698116635 4597222.92797065),2017-03-21,0.0086,0.0205,0.0,0.4501,0.0405,0.2937,0.44,0.4643,0.1081,0.0423,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,17,AA.S_Capitanata.05_2017_LAI,12:01 PM,Riefolo C. - Ruggieri S.,41.525512,15.511690,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.095,0.926,,,,,
35,POINT (548735.4124326664 4595655.383694973),2017-03-21,0.0503,0.0876,0.0722,0.4454,0.1371,0.3558,0.4239,0.4468,0.2258,0.1325,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,21,AA.S_Capitanata.09_2017_LAI,4:22 PM,Riefolo C. - Ruggieri S.,41.511048,15.584016,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.650,0.650,,,,,
36,POINT (543300.3164982036 4597159.284458977),2017-03-21,0.0127,0.0356,0.0108,0.4287,0.0627,0.3324,0.4423,0.4646,0.1399,0.0617,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,18,AA.S_Capitanata.06_2017_LAI,12:11 PM,Riefolo C. - Ruggieri S.,41.524906,15.518996,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.365,0.262,,,,,
37,POINT (544754.2222629546 4598076.676401409),2017-03-22,0.0056,0.024,0.0,0.5349,0.0429,0.3308,0.5208,0.5459,0.1287,0.0507,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,45,AA.S_Capitanata.33_2017_LAI,9:48 AM,Riefolo C. - Ruggieri S.,41.533089,15.536490,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,6.060,0.460,,,,,
38,POINT (545413.9190740222 4599483.047504193),2017-03-21,0.0369,0.0611,0.0447,0.4409,0.0948,0.3785,0.4483,0.4602,0.1436,0.0765,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,44,AA.S_Capitanata.32_2017_LAI,6:41 PM,Riefolo C. - Ruggieri S.,41.545719,15.544504,30-50 cm,19,Brocoli,,,Broccolo,Brassica oleracea var. italica,,,,Sunny - no clouds,1.590,0.940,,,,,
39,POINT (545291.7967621884 4599538.235425475),2017-03-21,0.0301,0.0587,0.0392,0.3105,0.095,0.2688,0.3218,0.3374,0.17,0.0988,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,43,AA.S_Capitanata.31_2017_LAI,6:39 PM,Riefolo C. - Ruggieri S.,41.546223,15.543044,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.990,0.170,,,,,
40,POINT (545499.6315616664 4600795.128986841),2017-03-21,0.0136,0.0328,0.0052,0.3537,0.0489,0.274,0.3597,0.3701,0.1198,0.0502,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,41,AA.S_Capitanata.29_2017_LAI,6:28 PM,Riefolo C. - Ruggieri S.,41.557532,15.545631,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.540,0.000,,,,,
41,POINT (545637.6134557134 4600800.332000629),2017-03-21,0.0119,0.0324,0.0068,0.3982,0.0521,0.2994,0.4026,0.407,0.1235,0.0499,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,42,AA.S_Capitanata.30_2017_LAI,6:30 PM,Riefolo C. - Ruggieri S.,41.557571,15.547286,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.410,,,,,
42,POINT (545787.6314331995 4603331.335690762),2017-03-21,0.0164,0.033,0.0136,0.3754,0.0527,0.2761,0.3804,0.3977,0.1168,0.0512,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,40,AA.S_Capitanata.28_2017_LAI,6:18 PM,Riefolo C. - Ruggieri S.,41.580359,15.549278,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.630,0.620,,,,,
43,POINT (545635.2505255968 4603448.499221022),2017-03-21,0.019,0.0397,0.0154,0.3454,0.0674,0.2765,0.3448,0.3616,0.1237,0.0575,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,39,AA.S_Capitanata.27_2017_LAI,6:17 PM,Riefolo C. - Ruggieri S.,41.581423,15.547459,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.030,0.170,,,,,
44,POINT (546316.2616701317 4604040.066811672),2017-03-21,0.0268,0.0501,0.027,0.3567,0.0816,0.3034,0.3538,0.3675,0.1228,0.0589,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,38,AA.S_Capitanata.26_2017_LAI,6:10 PM,Riefolo C. - Ruggieri S.,41.586712,15.555674,10-30 cm,35,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,2.250,0.140,,,,,
45,POINT (546197.0248175049 4604111.023040959),2017-03-22,0.0276,0.0492,0.0287,0.2764,0.0751,0.2396,0.2865,0.3067,0.139,0.0758,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,62,AA.S_Capitanata.50_2017_LAI,6:06 PM,Riefolo C. - Ruggieri S.,41.587358,15.554249,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.140,0.080,,,,,
46,POINT (546373.7502639719 4604186.436442368),2017-03-21,0.0093,0.023,0.0025,0.4843,0.0398,0.3107,0.4689,0.4902,0.109,0.0405,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170329-095024-458_L2A_T33TWG_D_V1-4_roi_0.tif,37,AA.S_Capitanata.25_2017_LAI,6:09 PM,Riefolo C. - Ruggieri S.,41.588027,15.556375,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.810,0.500,,,,,
