,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,StudySite,ESUnumber,CropType,CropHeight,Rowspacing,LeafType,PhenoState,RowOrienta,SkyCond,SamplStrat,Irrigation,b_Tilled,Operators,d_observa,X_UTM,Y_UTM,LAI_g_B_mi,fCover,LicorLAI,LAI_AccuPA,SD_LAI_Acc,B443_1,B490_1,B560_1,B665_1,B705_1,B740_1,B783_1,B842_1,B865_1,B945_1,B1610_1,B2190_1
19,POINT (344183.0641634532 4626504.306815265),2018-07-10,0.0488,0.0719,0.1063,0.1934,0.1349,0.1648,0.1849,0.2225,0.2626,0.1746,0,0,0,0,23,139,1,83,2018-07-06,4 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180706-110918-241_L2A_T30TUM_C_V2-2_roi_0.tif,MR,5108,CEBADA,65.0,0.0,N,SE,,CL,D,R,0,-1,hay un poco de verde aun,344183.064162,4626504.3067,,,,3.074,0.5813174692,,0.0,0.0,,,,,,,,,
88,POINT (351387.6940700384 4624321.748044322),2018-07-11,0.0491,0.0811,0.0929,0.2806,0.1675,0.2502,0.2864,0.3171,0.2829,0.198,0,0,0,0,22,141,0,67,2018-06-16,25 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Otro,2124,TRIGO BLANDO,65.0,12.0,N,SE,Parallel to the way,PC,D,R,0,NP,,351387.694069,4624321.74793,,,,1.764,0.1943707797,,0.0,0.0,,,,,,,,,
89,POINT (351408.16847093345 4624326.267249973),2018-06-28,0.0604,0.1001,0.1172,0.2793,0.158,0.2351,0.266,0.2965,0.265,0.1861,0,0,0,0,22,141,0,67,2018-06-16,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Otro,124,TRIGO BLANDO,0.0,12.0,N,SE,parallel to the way,PC,D,R,0,VPG,las medias D y El está  más verde el trigo y x lo tanto más espeso,351408.16847,4624326.26713,,,,1.404,0.55292856682,,0.0,0.0,,,,,,,,,
22,POINT (345192.8317346532 4625905.170116199),2018-07-11,0.0404,0.0891,0.0475,0.4727,0.1417,0.4256,0.4735,0.4946,0.2396,0.1152,0,0,0,0,23,139,1,81,2018-07-06,5 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180706-110918-241_L2A_T30TUM_C_V2-2_roi_0.tif,MR,5120,GIRASOL,140.0,0.0,B,FL,,OV,D,R,0,VPG,,345192.831734,4625905.17,,,,2.254,0.495307985,,0.0,0.0,,,,,,,,,
91,POINT (351387.7824235369 4624379.725904998),2018-06-28,0.0509,0.0942,0.0716,0.3901,0.1448,0.3224,0.376,0.4125,0.1929,0.1069,0,0,0,0,22,141,0,67,2018-06-16,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,Otro,3123,GUISANTES,0.0,0.0,-1,SE,,PC,D,R,0,VPG,casi seco,351387.782422,4624379.72579,,,,2.506,0.84978232507,,0.0,0.0,,,,,,,,,
92,POINT (351401.6698992969 4624386.43680833),2018-06-14,0.0794,0.1398,0.1814,0.3489,0.2295,0.315,0.3428,0.368,0.4107,0.3236,0,0,0,0,30,151,0,62,2018-04-27,48 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180427-111527-232_L2A_T30TUM_C_V2-2_roi_0.tif,MR,2123,GUISANTES,65.0,0.0,B,MA,,PC,D,R,0,-1,parecen dañados x granizo,351401.669898,4624386.43669,,,,3.656,1.66106291272,,0.0,0.0,,,,,,,,,
25,POINT (344510.64766491135 4626016.200394903),2018-07-11,0.036,0.0841,0.0443,0.4833,0.1396,0.4335,0.483,0.503,0.2246,0.1044,0,0,0,0,23,139,1,82,2018-07-06,5 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180706-110918-241_L2A_T30TUM_C_V2-2_roi_0.tif,MR,144,GIRASOL,150.0,0.0,B,FL,,OV,D,R,0,VPG,,344510.647664,4626016.20028,,,,2.616,0.25928748524,,0.0,0.0,,,,,,,,,
94,POINT (347095.255168831 4627491.170116216),2018-07-11,0.0762,0.1392,0.1951,0.394,0.2498,0.3618,0.3877,0.3991,0.4032,0.3061,0,0,0,0,22,140,1,80,2018-06-16,25 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,MR,150,GIRASOL,150.0,40.0,B,FL,Perpendicular,PC,D,I,0,NP,,347095.255168,4627491.17,,,,2.512,0.29346209295,,0.0,0.0,,,,,,,,,
27,POINT (345257.86329882906 4626200.611039551),2018-07-11,0.0373,0.0713,0.0382,0.5028,0.1066,0.4074,0.5023,0.5218,0.1607,0.0754,0,0,0,0,23,139,1,81,2018-07-06,5 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180706-110918-241_L2A_T30TUM_C_V2-2_roi_0.tif,MR,5119,REMOLACHA,45.0,0.0,B,GU,,PC,D,I,0,VPG,,345257.863298,4626200.61092,,,,3.456,0.71248157871,,0.0,0.0,,,,,,,,,
96,POINT (347144.52779524855 4627620.915112225),2018-07-11,0.0352,0.0577,0.0559,0.2374,0.0988,0.1899,0.2303,0.2555,0.1609,0.1087,0,0,0,0,22,140,1,80,2018-06-16,25 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T30TUM/SENTINEL2A_20180616-111245-493_L2A_T30TUM_C_V2-2_roi_0.tif,MR,149,TRIGO BLANDO,50.0,20.0,N,SE,Parallel to the way,PC,D,R,0,NP,,347144.527794,4627620.915,,,,3.086,0.28693204771,,0.0,0.0,,,,,,,,,
