,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,DHP,CAN-EYE Version,Species,NameESU,X-WGS84,Y-WGS84,PAIeff – CE,PAIeff CE V5.1,PAIeff – P57,PAIeff Miller,"PAIeff – LAI2000, 3 rings","PAIeff – LAI2000, 4 rings","PAIeff – LAI2000, 5 rings",PAItrue – CE,PAItrue – CE V5.1,PAItrue – P57,PAItrue – Miller
76,POINT (357438.509720561 4814710.652241848),2017-11-28,0.0932,0.1324,0.1704,0.231,0.1957,0.2224,0.2353,0.2413,0.2754,0.2183,0,0,0,0,64,169,1,296,2017-11-22,6 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,MER-37,1.23743,43.47173,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.05,0.0
53,POINT (356795.3553948401 4816426.183508198),2018-04-04,0.0281,0.0524,0.0386,0.2701,0.089,0.2295,0.2681,0.2788,0.1421,0.0817,0,0,0,0,45,157,1,296,2018-03-22,13 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180322-105809-862_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,BLA-1-4,1.229031,43.487047,1.43,1.44,1.43,1.45,1.39,1.39,1.22,1.71,1.57,1.71,1.5
76,POINT (357438.509720561 4814710.652241848),2017-11-28,0.0573,0.0895,0.1107,0.1726,0.1278,0.1579,0.1682,0.1778,0.2024,0.1446,0,0,0,0,65,168,1,293,2017-11-27,1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,MER-37,1.23743,43.47173,0.03,0.04,0.03,0.03,0.04,0.04,0.03,0.05,0.04,0.05,0.0
37,POINT (350838.6390189715 4816703.131275669),2017-11-28,0.0379,0.0691,0.0366,0.4543,0.1036,0.4011,0.4697,0.4923,0.1612,0.0631,0,0,0,0,60,168,1,254,2017-11-07,21 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171107-105753-766_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-26,1.155327,43.488375,2.69,2.59,2.69,2.66,3.28,2.94,2.57,5.39,5.13,5.39,3.03
38,POINT (350907.8331654242 4817076.612725374),2017-11-29,0.1015,0.1396,0.1859,0.2374,0.2039,0.2252,0.2364,0.2569,0.2788,0.2372,0,0,0,0,60,168,1,254,2017-11-07,22 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171107-105753-766_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter wheat,ANJ-28,1.15608,43.49175,0.14,0.14,0.14,0.15,0.13,0.14,0.12,0.16,0.15,0.16,0.15
81,POINT (357109.40728736285 4816323.175367713),2017-11-29,0.041,0.071,0.0368,0.4486,0.1045,0.389,0.4547,0.4679,0.1417,0.059,0,0,0,0,64,169,1,296,2017-11-22,7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20171122-105612-379_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-1-6,1.23294,43.48618,1.06,1.08,1.05,1.13,1.45,1.23,1.06,1.98,1.62,1.98,1.29
12,POINT (354981.35999888997 4814279.7849606825),2018-02-27,0.0318,0.0627,0.0478,0.2297,0.1079,0.1994,0.2186,0.2268,0.1462,0.0852,0,0,0,0,59,160,1,264,2018-02-10,17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180210-105158-460_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.492,winter wheat,BRA-11-19,1.20718,43.4673799999999,1.07,1.0,1.08,1.03,0.96,0.99,0.89,1.6,1.31,1.6,1.06
81,POINT (357109.40728736285 4816323.175367713),2017-11-29,0.0397,0.0678,0.0382,0.4453,0.0935,0.3761,0.4419,0.4607,0.1329,0.0509,0,0,0,0,65,168,1,293,2017-11-27,2 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171127-105827-648_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,BLA-1-6,1.23294,43.48618,1.06,1.08,1.05,1.13,1.45,1.23,1.06,1.98,1.62,1.98,1.29
20,POINT (356669.99044031696 4814911.41052826),2018-05-29,0.0363,0.074,0.0598,0.2788,0.1125,0.2327,0.2721,0.2992,0.1542,0.0921,0,0,0,0,25,150,1,296,2018-05-21,8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2A_20180521-105702-711_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.491,winter barley,PAV-1,1.22788,43.47339,2.55,2.44,2.54,2.46,2.11,2.25,2.04,3.52,3.22,3.52,2.53
47,POINT (350880.00130164577 4817467.022935166),2017-11-29,0.0413,0.0658,0.0446,0.4304,0.1218,0.3858,0.4289,0.4465,0.1457,0.0563,0,0,0,0,63,169,1,254,2017-11-17,12 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T31TCJ/SENTINEL2B_20171117-105314-464_L2A_T31TCJ_C_V2-2_roi_0.tif,DHP,V6.495,winter oilseedrape,ANJ-29,1.155629,43.495258,1.17,1.17,1.17,1.16,1.42,1.3,1.13,2.22,1.66,2.23,1.17
