,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
50,POINT (542377.9594574135 4590304.992224817),2017-05-11,0.0428,0.059,0.0811,0.2116,0.1061,0.1666,0.1972,0.2345,0.2461,0.1709,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,101,9NT_STRATEGA_20170511_LAI,8:11 AM,Colecchia S.A. - De Santis A.P.,41.463218,15.507459,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.985,0.131,,,,,
51,POINT (542305.0288903399 4590309.005795515),2017-05-11,0.0327,0.0497,0.0649,0.1756,0.0896,0.1362,0.1622,0.1987,0.2019,0.1399,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,94,2CT_STRATEGA_20170511_LAI,8:35 AM,Colecchia S.A. - De Santis A.P.,41.463258,15.506586,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.829,0.130,,,,,
52,POINT (542305.0288903399 4590309.005795515),2017-03-29,0.0327,0.0497,0.0649,0.1756,0.0896,0.1362,0.1622,0.1987,0.2019,0.1399,0,0,0,0,24,147,0,0,2017-05-18,-50 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,64,2CT_STRATEGA_20170329_LAI,10:44 AM,Colecchia S.A. - De Santis A.P.,41.463258,15.506586,30-50 cm,32,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.390,0.198,,,,,
53,POINT (542359.9657650598 4590453.990368482),2017-05-11,0.0395,0.0612,0.0782,0.2114,0.1021,0.1605,0.1914,0.2275,0.2433,0.1681,0,0,0,0,24,147,0,0,2017-05-18,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,93,1NT_STRATEGA_20170511_LAI,8:28 AM,Colecchia S.A. - De Santis A.P.,41.464561,15.507254,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.057,0.179,,,,,
66,POINT (542711.979301803 4589066.945514314),2017-05-17,0.109,0.152,0.2315,0.3416,0.2596,0.2971,0.3263,0.38,0.4569,0.3046,0,0,0,0,22,139,0,0,2017-06-27,-41 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170627-095631-843_L2A_T33TWF_D_V1-4_roi_0.tif,105,C_Foraggere_20170517_LAI,10:11 AM,Colecchia S.A. - De Santis A.P.,41.452049,15.511371,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.100,0.297,,,,,
92,POINT (548735.4124326664 4595655.383694973),2017-03-21,0.0491,0.0866,0.0713,0.4459,0.1367,0.356,0.4242,0.4472,0.226,0.1324,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170329-095024-458_L2A_T33TWF_D_V1-4_roi_0.tif,21,AA.S_Capitanata.09_2017_LAI,4:22 PM,Riefolo C. - Ruggieri S.,41.511048,15.584016,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.650,0.650,,,,,
93,POINT (543300.3164982036 4597159.284458977),2017-03-21,0.0114,0.0344,0.0095,0.429,0.0617,0.3325,0.4426,0.4649,0.1394,0.0613,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170329-095024-458_L2A_T33TWF_D_V1-4_roi_0.tif,18,AA.S_Capitanata.06_2017_LAI,12:11 PM,Riefolo C. - Ruggieri S.,41.524906,15.518996,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.365,0.262,,,,,
94,POINT (544754.2222629546 4598076.676401409),2017-03-22,0.0041,0.0225,0.0,0.5363,0.0415,0.3311,0.5221,0.5475,0.1282,0.0503,0,0,0,0,40,155,0,0,2017-03-29,-7 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170329-095024-458_L2A_T33TWF_D_V1-4_roi_0.tif,45,AA.S_Capitanata.33_2017_LAI,9:48 AM,Riefolo C. - Ruggieri S.,41.533089,15.536490,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,6.060,0.460,,,,,
95,POINT (545413.9190740222 4599483.047504193),2017-03-21,0.0355,0.0598,0.0431,0.4415,0.0938,0.3789,0.449,0.4611,0.1428,0.076,0,0,0,0,40,155,0,0,2017-03-29,-8 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170329-095024-458_L2A_T33TWF_D_V1-4_roi_0.tif,44,AA.S_Capitanata.32_2017_LAI,6:41 PM,Riefolo C. - Ruggieri S.,41.545719,15.544504,30-50 cm,19,Brocoli,,,Broccolo,Brassica oleracea var. italica,,,,Sunny - no clouds,1.590,0.940,,,,,
59,POINT (542476.9692240325 4588946.988633815),2017-05-17,0.0219,0.0453,0.0553,0.2251,0.0891,0.166,0.2072,0.2478,0.1758,0.1054,0,0,0,0,24,147,0,0,2017-05-18,-1 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWF/SENTINEL2A_20170518-095716-529_L2A_T33TWF_D_V1-4_roi_0.tif,108,F_Foraggere_20170517_LAI,11:49 AM,Colecchia S.A. - De Santis A.P.,41.450981,15.508549,>50 cm,69,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.646,0.630,,,,,
