,geometry,field_date,B2,B3,B4,B8,B5,B6,B7,B8A,B11,B12,sat_mask,cloud_mask,edge_mask,geophysical_mask,sun_zen,sun_az,join_zen,join_az,s2_date,time_delta,s2_filenames,Sequent_N,Ref_N,Hour_UTC+1,Operator,Latitude,Longitude,CropHeight,BBCH,Crop-EN,Crop-ES,Crop-FR,Crop-IT,Crop-LA,Crop-PL,Rowsp_(cm),RowOr(deg),SkyCond,LicorLAI,std_Licor,PocketLAI,std_PockLA,AccuPAR,std_AccuPA,Note
39,POINT (545291.7967621884 4599538.235425475),2017-03-21,0.0216,0.0468,0.027,0.3474,0.0773,0.2761,0.3478,0.3677,0.1503,0.076,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,43,AA.S_Capitanata.31_2017_LAI,6:39 PM,Riefolo C. - Ruggieri S.,41.546223,15.543044,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,0.990,0.170,,,,,
40,POINT (545499.6315616664 4600795.128986841),2017-03-21,0.0123,0.0353,0.0073,0.4169,0.0554,0.3062,0.4235,0.4354,0.118,0.0457,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,41,AA.S_Capitanata.29_2017_LAI,6:28 PM,Riefolo C. - Ruggieri S.,41.557532,15.545631,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.540,0.000,,,,,
41,POINT (545637.6134557134 4600800.332000629),2017-03-21,0.0122,0.0326,0.0078,0.442,0.0535,0.3095,0.4317,0.4459,0.1164,0.0449,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,42,AA.S_Capitanata.30_2017_LAI,6:30 PM,Riefolo C. - Ruggieri S.,41.557571,15.547286,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,1.900,0.410,,,,,
42,POINT (545787.6314331995 4603331.335690762),2017-03-21,0.0113,0.0276,0.0106,0.3727,0.0469,0.265,0.3758,0.3946,0.1053,0.0424,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,40,AA.S_Capitanata.28_2017_LAI,6:18 PM,Riefolo C. - Ruggieri S.,41.580359,15.549278,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.630,0.620,,,,,
43,POINT (545635.2505255968 4603448.499221022),2017-03-21,0.0183,0.038,0.019,0.3075,0.0638,0.2443,0.3142,0.3287,0.1181,0.0541,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,39,AA.S_Capitanata.27_2017_LAI,6:17 PM,Riefolo C. - Ruggieri S.,41.581423,15.547459,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.030,0.170,,,,,
44,POINT (546316.2616701317 4604040.066811672),2017-03-21,0.0249,0.0417,0.0223,0.4059,0.0697,0.3204,0.3967,0.4107,0.1077,0.0421,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,38,AA.S_Capitanata.26_2017_LAI,6:10 PM,Riefolo C. - Ruggieri S.,41.586712,15.555674,10-30 cm,35,Horse beans,,,Favino,Vicia Faba var. minor Beck.,,,,Sunny - no clouds,2.250,0.140,,,,,
45,POINT (546197.0248175049 4604111.023040959),2017-03-22,0.0252,0.047,0.029,0.2745,0.0718,0.2324,0.2904,0.3038,0.1322,0.0693,0,0,0,0,36,154,0,0,2017-04-08,-17 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,62,AA.S_Capitanata.50_2017_LAI,6:06 PM,Riefolo C. - Ruggieri S.,41.587358,15.554249,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,2.140,0.080,,,,,
46,POINT (546373.7502639719 4604186.436442368),2017-03-21,0.0109,0.0228,0.0062,0.4617,0.0417,0.292,0.4525,0.4793,0.103,0.0371,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,37,AA.S_Capitanata.25_2017_LAI,6:09 PM,Riefolo C. - Ruggieri S.,41.588027,15.556375,30-50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.810,0.500,,,,,
47,POINT (546751.4070803869 4605599.803128497),2017-03-21,0.0178,0.0397,0.0164,0.3739,0.0639,0.2862,0.3806,0.3991,0.1267,0.0533,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,36,AA.S_Capitanata.24_2017_LAI,5:46 PM,Riefolo C. - Ruggieri S.,41.600735,15.561016,10-30 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,3.040,0.220,,,,,
48,POINT (546559.6773605389 4605659.623737068),2017-03-21,0.0157,0.0335,0.0146,0.393,0.0593,0.2822,0.387,0.4063,0.1115,0.0454,0,0,0,0,36,154,0,0,2017-04-08,-18 days,/work/CESBIO/projects/MAESTRIA/prosail_validation/validation_sites/T33TWG/SENTINEL2A_20170408-095711-526_L2A_T33TWG_D_V1-4_roi_0.tif,34,AA.S_Capitanata.22_2017_LAI,5:37 PM,Riefolo C. - Ruggieri S.,41.601285,15.558720,>50 cm,35,Durum Wheat,Trigo duro,Blé dur,Frumento duro,Triticum durum Desf.,Pszenica durum,,,Sunny - no clouds,4.110,0.050,,,,,
